"","Country","Year","Approve","Disapprove"
"1","Afghanistan","2014",0.25,0.52
"2","Afghanistan","2013",0.38,0.51
"3","Afghanistan","2012",0.25,0.59
"4","Afghanistan","2011",0.3,0.62
"5","Afghanistan","2010",0.4,0.52
"6","Afghanistan","2009",0.42,0.41
"7","Albania","2014",0.41,0.3
"8","Albania","2013",0.32,0.16
"9","Albania","2012",0.39,0.31
"10","Albania","2011",0.51,0.22
"11","Albania","2010",0.42,0.35
"12","Albania","2009",0.29,0.31
"13","Algeria","2014",0.46,0.49
"14","Algeria","2012",0.4,0.58
"15","Algeria","2011",0.43,0.57
"16","Algeria","2010",0.54,0.44
"17","Angola","2014",0.37,0.19
"18","Angola","2013",0.37,0.29
"19","Angola","2012",0.54,0.23
"20","Angola","2011",0.69,0.24
"21","Argentina","2014",0.22,0.33
"22","Argentina","2013",0.17,0.24
"23","Argentina","2012",0.15,0.25
"24","Argentina","2011",0.17,0.25
"25","Armenia","2014",0.22,0.23
"26","Armenia","2013",0.27,0.22
"27","Armenia","2012",0.3,0.24
"28","Armenia","2011",0.36,0.2
"29","Armenia","2010",0.38,0.24
"30","Armenia","2009",0.44,0.24
"31","Azerbaijan","2014",0.28,0.27
"32","Azerbaijan","2013",0.32,0.29
"33","Azerbaijan","2012",0.38,0.24
"34","Azerbaijan","2011",0.41,0.19
"35","Azerbaijan","2010",0.41,0.24
"36","Azerbaijan","2009",0.42,0.22
"37","Bahrain","2009",0.46,0.22
"38","Bangladesh","2014",0.26,0.33
"39","Bangladesh","2013",0.44,0.19
"40","Bangladesh","2012",0.24,0.4
"41","Bangladesh","2011",0.21,0.3
"42","Bangladesh","2010",0.3,0.32
"43","Bangladesh","2009",0.33,0.26
"44","Belarus","2014",0.39,0.23
"45","Belarus","2013",0.29,0.13
"46","Belarus","2012",0.34,0.12
"47","Belarus","2011",0.38,0.11
"48","Belarus","2010",0.36,0.06
"49","Belarus","2009",0.36,0.11
"50","Belize","2014",0.25,0.17
"51","Benin","2014",0.68,0.15
"52","Benin","2013",0.65,0.13
"53","Benin","2012",0.74,0.09
"54","Benin","2011",0.76,0.08
"55","Bhutan","2013",0.04,0.12
"56","Bolivia","2014",0.23,0.19
"57","Bolivia","2013",0.2,0.28
"58","Bolivia","2012",0.19,0.17
"59","Bolivia","2011",0.25,0.18
"60","Bolivia","2009",0.22,0.18
"61","Bosnia-Herzegovina","2014",0.25,0.31
"62","Bosnia-Herzegovina","2013",0.3,0.42
"63","Bosnia-Herzegovina","2012",0.32,0.42
"64","Bosnia-Herzegovina","2011",0.35,0.46
"65","Bosnia-Herzegovina","2010",0.35,0.41
"66","Bosnia-Herzegovina","2009",0.3,0.36
"67","Botswana","2014",0.59,0.21
"68","Botswana","2013",0.6,0.3
"69","Botswana","2012",0.52,0.21
"70","Botswana","2011",0.52,0.39
"71","Botswana","2010",0.56,0.44
"72","Brazil","2014",0.31,0.33
"73","Brazil","2013",0.26,0.32
"74","Brazil","2012",0.27,0.27
"75","Brazil","2011",0.18,0.21
"76","Brazil","2010",0.18,0.26
"77","Brazil","2009",0.18,0.29
"78","Bulgaria","2014",0.35,0.16
"79","Bulgaria","2013",0.42,0.09
"80","Bulgaria","2012",0.29,0.11
"81","Bulgaria","2011",0.34,0.14
"82","Bulgaria","2010",0.28,0.13
"83","Bulgaria","2009",0.34,0.11
"84","Burkina Faso","2014",0.77,0.09
"85","Burkina Faso","2013",0.79,0.11
"86","Burkina Faso","2012",0.82,0.15
"87","Burkina Faso","2011",0.85,0.12
"88","Burkina Faso","2010",0.79,0.16
"89","Burundi","2014",0.61,0.19
"90","Burundi","2011",0.87,0.1
"91","Burundi","2009",0.74,0.21
"92","Cambodia","2014",0.46,0.21
"93","Cambodia","2013",0.45,0.15
"94","Cambodia","2012",0.51,0.08
"95","Cambodia","2011",0.55,0.1
"96","Cambodia","2010",0.35,0.07
"97","Cambodia","2009",0.33,0.03
"98","Cameroon","2014",0.69,0.14
"99","Cameroon","2013",0.77,0.14
"100","Cameroon","2012",0.79,0.13
"101","Cameroon","2011",0.83,0.16
"102","Cameroon","2009",0.73,0.16
"103","Central African Republic","2011",0.78,0.05
"104","Central African Republic","2010",0.82,0.15
"105","Chad","2014",0.63,0.31
"106","Chad","2013",0.59,0.36
"107","Chad","2012",0.71,0.27
"108","Chad","2011",0.62,0.3
"109","Chad","2010",0.67,0.31
"110","Chad","2009",0.8,0.17
"111","Chile","2014",0.18,0.31
"112","Chile","2013",0.19,0.33
"113","Chile","2012",0.19,0.28
"114","Chile","2011",0.21,0.29
"115","Chile","2010",0.27,0.26
"116","Chile","2009",0.23,0.24
"117","Colombia","2014",0.17,0.35
"118","Colombia","2013",0.16,0.26
"119","Colombia","2012",0.24,0.23
"120","Colombia","2011",0.19,0.17
"121","Colombia","2010",0.24,0.2
"122","Colombia","2009",0.18,0.22
"123","Comoros","2012",0.81,0.18
"124","Comoros","2011",0.88,0.1
"125","Comoros","2010",0.81,0.16
"126","Comoros","2009",0.79,0.15
"127","Congo","2014",0.69,0.19
"128","Congo","2013",0.78,0.15
"129","Congo","2012",0.73,0.2
"130","Congo","2011",0.72,0.14
"131","Congo","2009",0.76,0.2
"132","Congo","2014",0.71,0.1
"133","Congo","2013",0.8,0.14
"134","Congo","2012",0.79,0.18
"135","Congo","2011",0.81,0.13
"136","Costa Rica","2014",0.28,0.28
"137","Costa Rica","2013",0.3,0.29
"138","Costa Rica","2012",0.23,0.14
"139","Costa Rica","2011",0.23,0.18
"140","Costa Rica","2010",0.23,0.15
"141","Costa Rica","2009",0.29,0.21
"142","Cote d'Ivoire","2014",0.76,0.17
"143","Cote d'Ivoire","2013",0.76,0.17
"144","Cote d'Ivoire","2009",0.68,0.27
"145","Croatia","2014",0.12,0.64
"146","Croatia","2013",0.18,0.32
"147","Croatia","2012",0.15,0.25
"148","Croatia","2011",0.27,0.21
"149","Croatia","2010",0.25,0.26
"150","Croatia","2009",0.25,0.27
"151","Cyprus","2014",0.28,0.28
"152","Cyprus","2013",0.38,0.27
"153","Cyprus","2012",0.29,0.22
"154","Cyprus","2011",0.21,0.26
"155","Cyprus","2010",0.24,0.19
"156","Cyprus","2009",0.29,0.23
"157","Czech Republic","2014",0.19,0.5
"158","Czech Republic","2013",0.19,0.48
"159","Czech Republic","2012",0.17,0.48
"160","Czech Republic","2011",0.15,0.46
"161","Czech Republic","2010",0.14,0.44
"162","Czech Republic","2009",0.14,0.48
"163","Djibouti","2011",0.54,0.35
"164","Djibouti","2010",0.53,0.43
"165","Djibouti","2009",0.59,0.39
"166","Dominican Republic","2014",0.12,0.14
"167","Dominican Republic","2013",0.17,0.13
"168","Dominican Republic","2012",0.17,0.11
"169","Dominican Republic","2011",0.22,0.11
"170","Ecuador","2014",0.24,0.34
"171","Ecuador","2013",0.22,0.37
"172","Ecuador","2012",0.18,0.21
"173","Ecuador","2011",0.2,0.34
"174","Egypt","2014",0.32,0.44
"175","Egypt","2013",0.24,0.45
"176","Egypt","2012",0.25,0.47
"177","Egypt","2011",0.22,0.43
"178","Egypt","2010",0.34,0.22
"179","Egypt","2009",0.37,0.27
"180","El Salvador","2014",0.21,0.21
"181","El Salvador","2013",0.18,0.19
"182","El Salvador","2012",0.19,0.18
"183","El Salvador","2011",0.27,0.26
"184","El Salvador","2010",0.31,0.29
"185","Estonia","2014",0.28,0.31
"186","Estonia","2013",0.29,0.43
"187","Estonia","2012",0.2,0.35
"188","Estonia","2011",0.25,0.29
