"","cowcode","COUNTRY","YEAR","ACTIVITIES_RESTRICT","VISIT_RESTRICT","TRAVEL_RESTRICT","FUNDING_INT","FUNDING_DOM","VISAS_DIFFICULTIES","VISAS_DENIED","HARASS_AMOUNT","ARREST","SURVEIL","KILLING","COOPT"
"1",700,"Afghanistan",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2",700,"Afghanistan",1995,0,0,0,0,0,0,0,0,0,0,0,0
"3",700,"Afghanistan",1996,0,0,0,0,0,0,0,0,0,0,0,0
"4",700,"Afghanistan",2000,1,0,1,0,0,1,1,2,1,1,0,1
"5",700,"Afghanistan",2001,1,0,1,0,0,0,0,2,2,1,0,1
"6",700,"Afghanistan",2002,1,0,1,0,0,0,0,2,0,0,0,0
"7",700,"Afghanistan",2003,1,0,1,0,1,0,0,2,0,0,1,0
"8",700,"Afghanistan",2004,1,0,1,0,1,0,0,2,0,0,1,0
"9",700,"Afghanistan",2005,0,0,0,0,0,0,0,0,0,0,0,0
"10",700,"Afghanistan",2006,1,0,0,0,0,0,0,0,0,0,0,0
"11",700,"Afghanistan",2007,0,0,0,0,0,0,0,0,0,0,0,0
"12",700,"Afghanistan",2008,0,0,0,0,0,0,0,0,0,0,0,0
"13",700,"Afghanistan",2009,0,0,0,0,0,0,0,0,0,0,0,0
"14",700,"Afghanistan",2010,0,0,0,0,0,0,0,0,0,0,0,0
"15",700,"Afghanistan",2011,0,0,0,0,0,0,0,0,0,0,0,0
"16",700,"Afghanistan",2012,0,0,0,0,0,0,0,0,0,0,0,0
"17",700,"Afghanistan",2013,1,0,0,0,0,0,0,1,0,0,0,0
"18",700,"Afghanistan",2014,1,0,0,0,0,0,0,1,0,0,0,0
"19",339,"Albania",1994,1,0,0,0,1,0,0,0,0,0,0,0
"20",339,"Albania",1995,1,0,0,0,1,0,0,1,0,0,0,0
"21",339,"Albania",1996,1,0,0,0,0,0,0,1,0,0,0,0
"22",339,"Albania",1997,0,0,0,0,0,0,0,0,0,0,0,0
"23",339,"Albania",1998,0,0,0,0,0,0,0,0,0,0,0,0
"24",339,"Albania",1999,0,0,0,0,0,0,0,0,0,0,0,0
"25",339,"Albania",2000,0,0,0,0,0,0,0,0,0,0,0,0
"26",339,"Albania",2001,0,0,0,0,0,0,0,0,0,0,0,0
"27",339,"Albania",2002,0,0,0,0,0,0,0,0,0,0,0,0
"28",339,"Albania",2003,0,0,0,0,0,0,0,0,0,0,0,0
"29",339,"Albania",2004,0,0,0,0,0,0,0,0,0,0,0,0
"30",339,"Albania",2005,0,0,0,0,0,0,0,0,0,0,0,0
"31",339,"Albania",2006,0,0,0,0,0,0,0,0,0,0,0,0
"32",339,"Albania",2007,0,0,0,0,0,0,0,0,0,0,0,0
"33",339,"Albania",2008,0,0,0,0,0,0,0,0,0,0,0,0
"34",339,"Albania",2009,0,0,0,0,0,0,0,0,0,0,0,0
"35",339,"Albania",2010,0,0,0,0,0,0,0,0,0,0,0,0
"36",339,"Albania",2011,0,0,0,0,0,0,0,0,0,0,0,0
"37",339,"Albania",2012,0,0,0,0,0,0,0,0,0,0,0,0
"38",339,"Albania",2013,0,0,0,0,0,0,0,0,0,0,0,0
"39",339,"Albania",2014,0,0,0,0,0,0,0,0,0,0,0,0
"40",615,"Algeria",1994,1,0,0,0,0,0,0,1,0,1,1,0
"41",615,"Algeria",1995,1,1,0,0,0,0,0,0,0,0,0,0
"42",615,"Algeria",1996,1,1,0,0,0,0,0,1,0,0,0,0
"43",615,"Algeria",1997,1,1,0,0,0,1,1,1,0,0,0,0
"44",615,"Algeria",1998,1,1,0,0,0,0,0,1,0,0,0,0
"45",615,"Algeria",1999,1,1,0,0,0,0,0,1,0,1,0,0
"46",615,"Algeria",2000,1,1,0,0,0,0,0,1,0,1,0,0
"47",615,"Algeria",2001,1,1,0,1,0,1,1,1,0,1,0,0
"48",615,"Algeria",2002,1,1,0,1,0,1,1,1,0,1,0,0
"49",615,"Algeria",2003,1,1,0,1,0,1,1,2,1,1,0,0
"50",615,"Algeria",2004,1,1,0,1,0,1,1,2,1,1,0,0
"51",615,"Algeria",2005,1,1,0,1,0,1,1,1,0,1,0,0
"52",615,"Algeria",2006,1,1,0,1,0,1,1,1,0,1,0,0
"53",615,"Algeria",2007,1,1,0,1,0,1,1,1,0,1,0,0
"54",615,"Algeria",2008,1,1,0,1,1,1,1,2,0,2,0,0
"55",615,"Algeria",2009,1,1,0,1,1,1,1,2,0,2,0,0
"56",615,"Algeria",2010,1,1,0,1,1,1,1,2,1,2,0,0
"57",615,"Algeria",2011,1,1,0,1,0,1,1,2,0,1,0,0
"58",615,"Algeria",2012,1,1,0,0,0,1,1,1,0,0,0,0
"59",615,"Algeria",2013,1,1,0,0,0,1,1,0,0,0,0,0
"60",615,"Algeria",2014,1,0,0,0,0,1,1,2,1,1,0,0
"61",540,"Angola",1994,1,1,1,0,0,0,0,2,1,0,0,0
"62",540,"Angola",1995,1,1,0,0,0,0,0,2,1,0,0,0
"63",540,"Angola",1996,1,1,0,0,0,0,0,0,0,0,0,0
"64",540,"Angola",1997,0,0,0,0,0,0,0,0,0,0,0,0
"65",540,"Angola",1998,1,0,1,0,0,0,0,0,0,0,0,0
"66",540,"Angola",1999,1,0,1,0,0,0,0,0,0,0,0,0
"67",540,"Angola",2000,1,0,1,0,0,0,0,0,0,0,0,0
"68",540,"Angola",2001,1,1,1,0,0,0,0,2,0,0,0,0
"69",540,"Angola",2002,1,0,1,0,0,0,0,0,0,0,0,0
"70",540,"Angola",2003,1,0,1,0,0,1,0,1,0,0,0,0
"71",540,"Angola",2004,1,0,1,0,0,1,1,0,0,0,0,0
"72",540,"Angola",2005,1,0,0,0,0,0,0,0,0,0,0,0
"73",540,"Angola",2006,1,0,0,0,0,0,0,1,1,0,0,0
"74",540,"Angola",2007,1,0,0,0,0,0,0,1,1,0,0,0
"75",540,"Angola",2008,1,0,0,0,0,0,0,2,1,2,0,0
"76",540,"Angola",2009,1,0,0,0,0,0,0,2,1,2,0,0
"77",540,"Angola",2010,1,0,0,0,0,1,0,2,1,2,0,0
"78",540,"Angola",2011,1,0,0,0,0,1,1,2,1,0,0,0
"79",540,"Angola",2012,1,1,1,0,0,1,0,2,1,0,0,0
"80",540,"Angola",2013,1,1,0,0,0,1,0,2,0,0,0,0
"81",540,"Angola",2014,1,1,0,0,0,1,1,2,1,2,0,0
"82",160,"Argentina",1994,0,0,0,0,0,0,0,0,0,0,0,0
"83",160,"Argentina",1995,0,0,0,0,0,0,0,0,0,0,0,0
"84",160,"Argentina",1996,0,0,0,0,0,0,0,0,0,0,0,0
"85",160,"Argentina",1997,0,0,0,0,0,0,0,0,0,0,0,0
"86",160,"Argentina",1998,0,0,0,0,0,0,0,0,0,0,0,0
"87",160,"Argentina",1999,0,0,0,0,0,0,0,0,0,0,0,0
"88",160,"Argentina",2000,0,0,0,0,0,0,0,0,0,0,0,0
"89",160,"Argentina",2001,1,0,0,0,0,0,0,1,0,0,0,0
"90",160,"Argentina",2002,1,0,0,0,0,0,0,1,0,0,1,0
"91",160,"Argentina",2003,0,0,0,0,0,0,0,0,0,0,0,0
"92",160,"Argentina",2004,0,0,0,0,0,0,0,0,0,0,0,0
"93",160,"Argentina",2005,0,0,0,0,0,0,0,0,0,0,0,0
"94",160,"Argentina",2006,0,0,0,0,0,0,0,0,0,0,0,0
"95",160,"Argentina",2007,1,0,0,0,0,0,0,1,0,0,0,0
"96",160,"Argentina",2008,0,0,0,0,0,0,0,0,0,0,0,0
"97",160,"Argentina",2009,0,0,0,0,0,0,0,0,0,0,0,0
