"","code","id","country","year","law","gdpcap","oda","polity","vote_un","conflict","ciri_physical","ciri_empower","ngo_member","compete","yrsoffc","party_orient","opposition","region_context","common_law"
"1","AFG",2,"Afghanistan",1993,0,NA,3.6e+08,20,0.25,1,NA,NA,85,0,1,0,"0",0.157895,0
"2","AFG",2,"Afghanistan",1994,0,NA,3.5e+08,20,0.311111,1,NA,NA,87,0,2,0,"0",0.157895,0
"3","AFG",2,"Afghanistan",1995,0,NA,3.1e+08,20,0.22807,1,NA,NA,84,0,3,0,"0",0.157895,0
"4","AFG",2,"Afghanistan",1996,0,NA,2.4e+08,13,0.340426,1,0,3,89,0,4,0,"0",0.157895,0
"5","AFG",2,"Afghanistan",1997,0,NA,3.7e+08,13,0.234043,1,0,3,86,0,1,0,"0",0.157895,0
"6","AFG",2,"Afghanistan",1998,0,NA,2.7e+08,13,0.3125,1,0,0,82,0,2,0,"0",0.157895,0
"7","AFG",2,"Afghanistan",1999,0,NA,2.2e+08,13,0.190476,1,0,2,76,0,3,0,"0",0.157895,0
"8","AFG",2,"Afghanistan",2000,0,NA,2.4e+08,13,0.2,1,0,1,69,0,4,0,"0",0.210526,0
"9","AFG",2,"Afghanistan",2001,0,NA,7.6e+08,NA,0.16129,1,0,0,67,0,5,0,"0",0.210526,0
"10","AFG",2,"Afghanistan",2002,0,231.973,2e+09,NA,0.176471,1,3,2,67,0,1,NA,"0",0.263158,0
"11","AFG",2,"Afghanistan",2003,0,241.621,2.2e+09,NA,0.153846,1,NA,NA,78,0,2,NA,"0",0.263158,0
"12","AFG",2,"Afghanistan",2004,0,234.997,2.8e+09,NA,0.117647,1,NA,NA,85,2,3,NA,"0",0.315789,0
"13","AFG",2,"Afghanistan",2005,1,252.408,3.4e+09,NA,0.118644,1,4,2,105,1,4,NA,"0",0.421053,0
"14","ALB",4,"Albania",1993,0,1177.85,4.4e+08,15,0.789474,0,6,8,179,0,1,1,"25",0,0
"15","ALB",4,"Albania",1994,0,1288.01,2.4e+08,15,0.709677,0,7,12,216,0,2,1,"25",0,0
"16","ALB",4,"Albania",1995,0,1470.84,2.5e+08,15,0.44,0,4,11,88,0,3,1,"25",0,0
"17","ALB",4,"Albania",1996,0,1612.76,3.2e+08,20,0.625,0,4,9,257,2,4,1,"25",0,0
"18","ALB",4,"Albania",1997,0,1452.49,2.6e+08,15,0.589744,0,4,10,299,2,5,1,"20.370000839999999",0.066667,0
"19","ALB",4,"Albania",1998,0,1639.84,4.2e+08,15,0.571429,0,5,12,348,0,1,3,"25.700000760000002",0.066667,0
"20","ALB",4,"Albania",1999,0,1809.55,7.8e+08,15,0.628571,0,5,12,365,0,2,3,"25.700000760000002",0.133333,0
"21","ALB",4,"Albania",2000,0,1949.28,5.3e+08,15,0.84,0,3,9,428,0,1,3,"25.700000760000002",0.2,0
"22","ALB",4,"Albania",2001,0,2097.7,4.6e+08,15,0.714286,0,6,11,450,2,2,3,"25.700000760000002",0.4,0
"23","ALB",4,"Albania",2002,0,2173.41,4.9e+08,17,0.444444,0,6,12,484,0,1,3,"36.810001370000002",0.466667,0
"24","ALB",4,"Albania",2003,0,2314.47,5e+08,17,0.520833,0,5,10,515,0,1,3,"36.810001370000002",0.466667,0
"25","ALB",4,"Albania",2004,0,2468.69,3.8e+08,17,0.547619,0,6,11,528,0,2,3,"36.810001370000002",0.466667,0
"26","ALB",4,"Albania",2005,0,2620.82,3.9e+08,19,0.512195,0,7,10,531,2,3,3,"36.810001370000002",0.466667,0
"27","ALB",4,"Albania",2006,0,2766.19,3.8e+08,19,0.366667,0,6,11,545,0,1,1,"30",0.466667,0
"28","ALB",4,"Albania",2007,0,2941.75,3.3e+08,19,0.391304,0,7,10,550,0,2,1,"30",0.4375,0
"29","ALB",4,"Albania",2008,0,3177.91,3.7e+08,19,0.372549,0,7,12,NA,0,3,1,"30",0.411765,0
"30","ALB",4,"Albania",2009,0,3288.43,3.7e+08,19,0.520833,0,7,11,NA,2,4,1,"30",0.470588,0
"31","ALB",4,"Albania",2010,0,3404.66,3.6e+08,19,0.488372,0,7,11,NA,0,5,1,"40.849998470000003",0.529412,0
"32","ALB",4,"Albania",2011,0,3502.64,3.5e+08,19,0.617021,0,NA,NA,NA,0,6,1,"40.849998470000003",0.529412,0
"33","ALB",4,"Albania",2012,0,3521.5,NA,NA,0.5,0,NA,NA,NA,0,7,1,"40.849998470000003",0.529412,0
"34","DZA",50,"Algeria",1993,0,2385.34,5.3e+08,13,0.222222,1,2,6,624,0,1,0,"0",0.157895,0
"35","DZA",50,"Algeria",1994,0,2314.94,4.8e+08,13,0.346154,1,2,4,623,0,2,0,"0",0.157895,0
