"","Country","Bakke","Dupuy","Both"
"1","Afghanistan",0,1,0
"2","Algeria",0,0,1
"3","Angola",0,1,0
"4","Armenia",1,0,0
"5","Azerbaijan",0,0,1
"6","Bahrain",0,1,0
"7","Bangladesh",1,0,0
"8","Barbados",1,0,0
"9","Belarus",0,0,1
"10","Belize",0,1,0
"11","Benin",0,1,0
"12","Bhutan",0,1,0
"13","Bolivia",0,1,0
"14","Burundi",0,1,0
"15","Cameroon",0,1,0
"16","China",0,0,1
"17","Cote D'Ivoire",1,0,0
"18","Ecuador",0,1,0
"19","Egypt",0,0,1
"20","Equatorial Guinea",0,0,1
"21","Eritrea",0,0,1
"22","Ethiopia",0,0,1
"23","Fiji",1,0,0
"24","Hungary",1,0,0
"25","India",0,0,1
"26","Indonesia",0,0,1
"27","Iran",1,0,0
"28","Iraq",1,0,0
"29","Israel",0,0,1
"30","Jordan",0,0,1
"31","Kazakhstan",1,0,0
"32","Kuwait",1,0,0
"33","Kyrgyz Republic",1,0,0
"34","Malaysia",1,0,0
"35","Myanmar",0,1,0
"36","Nepal",0,1,0
"37","Nicaragua",1,0,0
"38","North Korea",1,0,0
"39","Oman",0,0,1
"40","Pakistan",0,1,0
"41","Peru",1,0,0
"42","Qatar",0,1,0
"43","Russia",0,0,1
"44","Rwanda",0,0,1
"45","Saudi Arabia",1,0,0
"46","Serbia",1,0,0
"47","Sierra Leone",0,1,0
"48","Singapore",0,0,1
"49","Slovakia",1,0,0
"50","Somalia",0,1,0
"51","South Sudan",1,0,0
"52","Sri Lanka",0,0,1
"53","Sudan",0,0,1
"54","Syria",1,0,0
"55","Thailand",0,1,0
"56","Togo",1,0,0
"57","Tunisia",0,0,1
"58","Turkey",1,0,0
"59","Turkmenistan",0,1,0
"60","Uganda",0,1,0
"61","Ukraine",0,0,1
"62","United Arab Emirates",1,0,0
"63","Uruguay",0,1,0
"64","Uzbekistan",0,0,1
"65","Venezuela",0,0,1
"66","Vietnam",0,0,1
"67","Yemen",1,0,0
"68","Zimbabwe",0,0,1
